subject_id,gender_sr,age_sr,party,party_dem,party_rep,ideo,ideo_lib,ideo_con,peoria_treat,imm_treat,ubi_treat,peoria_targeting,imm_targeting,ubi_targeting,target_dummy,treat_dummy,persuade,peoria_cond
418,1,41,3,NA,NA,3,NA,NA,targeting,naive,naive,cov_profile_1,NA,NA,1,0,5,control
418,1,41,3,NA,NA,3,NA,NA,targeting,naive,naive,cov_profile_1,NA,NA,0,NA,3,control
418,1,41,3,NA,NA,3,NA,NA,targeting,naive,naive,cov_profile_1,NA,NA,0,NA,4,control
419,1,61,1,2,NA,3,NA,NA,targeting,single_best,control,cov_profile_2,NA,NA,1,0,3,control
419,1,61,1,2,NA,3,NA,NA,targeting,single_best,control,cov_profile_2,NA,NA,0,NA,4,control
419,1,61,1,2,NA,3,NA,NA,targeting,single_best,control,cov_profile_2,NA,NA,0,NA,5,control
420,2,22,1,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,2,22,1,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,2,22,1,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421,2,50,3,NA,NA,1,1,NA,single_best,control,naive,NA,NA,NA,0,1,4,video
421,2,50,3,NA,NA,1,1,NA,single_best,control,naive,NA,NA,NA,0,NA,6,video
421,2,50,3,NA,NA,1,1,NA,single_best,control,naive,NA,NA,NA,0,NA,5,video
422,2,22,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,2,22,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,2,22,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,1,32,1,2,NA,3,NA,NA,targeting,control,targeting,cov_profile_2,NA,cov_profile_3,1,1,3,video
423,1,32,1,2,NA,3,NA,NA,targeting,control,targeting,cov_profile_2,NA,cov_profile_3,1,NA,4,video
423,1,32,1,2,NA,3,NA,NA,targeting,control,targeting,cov_profile_2,NA,cov_profile_3,0,NA,5,video
424,2,32,1,1,NA,3,NA,NA,targeting,naive,targeting,cov_profile_3,NA,cov_profile_3,1,1,4,video
